Format Version,1.24,Take Name,Take 2024-10-24 04.26.46 PM,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2024-10-24 04.26.47.070 PM,Capture Start Frame,161615,Total Frames in Take,1801,Total Exported Frames,1801,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014
,ID,"CE30C20AAF924411EF","CE30C20AAF924411EF","CE30C20AAF924411EF"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
415,2.305556,147.099380,67.761887,90.310478
416,2.311111,147.097427,67.765625,90.307007
417,2.316667,147.097321,67.764709,90.305817
418,2.322222,147.100647,67.765511,90.306892
419,2.327778,147.098923,67.765953,90.307793
420,2.333333,147.102661,67.763809,90.312866
421,2.338889,147.104065,67.763138,90.314644
422,2.344444,147.102524,67.765106,90.313698
423,2.350000,147.099640,67.765396,90.309868
424,2.355556,147.102051,67.763992,90.311607
425,2.361111,147.095703,67.767303,90.309669
426,2.366667,147.096634,67.769043,90.310440
427,2.372222,147.100128,67.764160,90.308777
428,2.377778,147.098969,67.764442,90.311546
429,2.383333,147.100204,67.763168,90.310989
430,2.388889,147.100952,67.761642,90.313034
431,2.394444,147.100494,67.764557,90.314682
432,2.400000,147.102524,67.762375,90.311440
433,2.405556,147.096756,67.763710,90.311150
434,2.411111,147.097595,67.762505,90.308281
435,2.416667,147.101181,67.761261,90.313377
436,2.422222,147.099701,67.762444,90.312851
437,2.427778,147.097031,67.764618,90.309845
438,2.433333,147.096695,67.764771,90.308754
439,2.438889,147.099548,67.760849,90.312576
440,2.444444,147.100967,67.763939,90.314964
441,2.450000,147.095276,67.763992,90.312042
442,2.455556,147.099304,67.762703,90.312393
443,2.461111,147.098969,67.762047,90.312424
444,2.466667,147.099533,67.762962,90.313576
445,2.472222,147.101624,67.762894,90.315002
446,2.477778,147.098923,67.763611,90.312767
447,2.483333,147.100540,67.762535,90.315849
448,2.488889,147.095642,67.763931,90.311729
449,2.494444,147.100769,67.762337,90.313263
450,2.500000,147.097626,67.766167,90.312637
451,2.505556,147.100937,67.762138,90.316940
452,2.511111,147.119904,67.774452,90.291542
453,2.516667,147.100204,67.766266,90.309837
454,2.522222,147.098236,67.764671,90.317093
455,2.527778,147.099335,67.762413,90.318878
456,2.533333,147.098343,67.762093,90.315414
457,2.538889,147.098892,67.764153,90.315903
458,2.544444,147.101044,67.765961,90.314117
